module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00001	Ccu_c8Ua_181	Ccu_c8Ua_181	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00134,K00134,K00873,K00886,K00927,K01624,K01689,K01803,K01810,K01834,K21071,K25026	134,1227,382,230,133,2068,1209,132,1299,2186,1024,459	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00873 is present in multiple modules: M00001/M00002,K00886 is present in multiple modules: M00001/M00549,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01810 is present in multiple modules: M00001/M00004,K01834 is present in multiple modules: M00001/M00002/M00003,K21071 is present in multiple modules: M00001/M00345,K25026 is present in multiple modules: M00001/M00549	1	1	2,1,1,1,1,1,1,1,1
M00002	Ccu_c8Ua_181	Ccu_c8Ua_181	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00134,K00134,K00873,K00927,K01689,K01803,K01834	134,1227,382,133,1209,132,2186	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00873 is present in multiple modules: M00001/M00002,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01834 is present in multiple modules: M00001/M00002/M00003	1	1	1,1,1,1,1
M00003	Ccu_c8Ua_181	Ccu_c8Ua_181	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	1.0	True	1.0	True	1.0	K01596	1	K00134,K00134,K00927,K01596,K01624,K01689,K01803,K01834,K02446	134,1227,133,2011,2068,1209,132,2186,1182	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01834 is present in multiple modules: M00001/M00002/M00003,K02446 is present in multiple modules: M00003/M00165/M00611/M00612	1	1	1,1,1,1,2,1,1
M00307	Ccu_c8Ua_181	Ccu_c8Ua_181	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	1.0	True	1.0	True	1.0	K00163,K00627	1,1	K00163,K00382,K00627	514,941,478	K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032	1	1	1
M00009	Ccu_c8Ua_181	Ccu_c8Ua_181	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00024,K00031,K00116,K00239,K00240,K00241,K00382,K01616,K01647,K01659,K01679,K18118,K27802	733,1538,319,944,945,943,941,1121,1326,1515,1183,872,102	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614,K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K00116 is present in multiple modules: M00009/M00011/M00982,K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K01616 is present in multiple modules: M00009/M00011,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614,K18118 is present in multiple modules: M00009/M00011,K27802 is present in multiple modules: M00009/M00010/M00012/M00740/M00982/M00173	1	1	2,1,1,1,1,1,1,2
M00010	Ccu_c8Ua_181	Ccu_c8Ua_181	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00031,K01647,K01659,K27802	1538,1326,1515,102	K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K27802 is present in multiple modules: M00009/M00010/M00012/M00740/M00982/M00173	1	1	2,1,1
M00011	Ccu_c8Ua_181	Ccu_c8Ua_181	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00024,K00116,K00239,K00240,K00241,K00382,K01616,K01679,K18118	733,319,944,945,943,941,1121,1183,872	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614,K00116 is present in multiple modules: M00009/M00011/M00982,K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K01616 is present in multiple modules: M00009/M00011,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614,K18118 is present in multiple modules: M00009/M00011	1	1	1,1,1,1,2
M00004	Ccu_c8Ua_181	Ccu_c8Ua_181	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00033,K00036,K00615,K00616,K01057,K01783,K01808,K01810	50,128,126,127,130,145,748,1299	K00033 is present in multiple modules: M00004/M00006,K00036 is present in multiple modules: M00004/M00006/M00008,K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K01057 is present in multiple modules: M00004/M00006/M00008,K01783 is present in multiple modules: M00004/M00007/M00165,K01808 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K01810 is present in multiple modules: M00001/M00004	1	1	1,1,1,1,1,1
M00006	Ccu_c8Ua_181	Ccu_c8Ua_181	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00033,K00036,K01057	50,128,130	K00033 is present in multiple modules: M00004/M00006,K00036 is present in multiple modules: M00004/M00006/M00008,K01057 is present in multiple modules: M00004/M00006/M00008	1	1	1,1
M00007	Ccu_c8Ua_181	Ccu_c8Ua_181	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00615,K00616,K01783,K01808	126,127,145,748	K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K01783 is present in multiple modules: M00004/M00007/M00165,K01808 is present in multiple modules: M00004/M00007/M00165/M00611/M00612	1	1	1,1,1,1
M00005	Ccu_c8Ua_181	Ccu_c8Ua_181	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	1	K00948	1217	None	1	1	1
M00008	Ccu_c8Ua_181	Ccu_c8Ua_181	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00036,K01057	128,130	K00036 is present in multiple modules: M00004/M00006/M00008,K01057 is present in multiple modules: M00004/M00006/M00008	0	0	1,1,0,0
M00308	Ccu_c8Ua_181	Ccu_c8Ua_181	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.25	False	0.4	False	NA	No enzymes unique to module	NA	K00134,K00134,K00927	134,1227,133	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612	0	0	0,0,0,1
M00014	Ccu_c8Ua_181	Ccu_c8Ua_181	Glucuronate pathway (uronate pathway)	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00012 ((K12447 K16190),(K00699 (K01195,K14756))) K00002 K13247 -- K03331 (K05351,K00008) K00854"	0.125	False	0.1111111111111111	False	NA	No enzymes unique to module	NA	K00012	2024	'--' steps are assumed incomplete,K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761	0	0	1,0,0,0,0,0,0,0
M00632	Ccu_c8Ua_181	Ccu_c8Ua_181	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01785 K00849 K00965 K01784"	1.0	True	1.0	True	1.0	K01785	1	K00849,K00965,K01784,K01784,K01785	1472,1473,245,562,1476	K00849 is present in multiple modules: M00632/M00554,K00965 is present in multiple modules: M00632/M00554,K01784 is present in multiple modules: M00632/M01004	1	1	1,1,1,2
M00552	Ccu_c8Ua_181	Ccu_c8Ua_181	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01684 K00883 K01631 K00134 K00927"	0.4	False	0.4	False	NA	No enzymes unique to module	NA	K00134,K00134,K00927	134,1227,133	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612	0	0	0,0,0,2,1
M00129	Ccu_c8Ua_181	Ccu_c8Ua_181	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00963 K00012 K00699 K01195 K00002 K01053 K00103"	0.2857142857142857	False	0.2857142857142857	False	NA	No enzymes unique to module	NA	K00012,K00963,K00963	2024,1269,557	K00012 is present in multiple modules: M00014/M00129/M00997/M00999/M00761,K00963 is present in multiple modules: M00129/M00854/M00549	0	0	2,1,0,0,0,0,0
M00114	Ccu_c8Ua_181	Ccu_c8Ua_181	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01809 K17497 K00966 K10046 K14190 K10047 K17744 K00225"	0.125	False	0.125	False	NA	No enzymes unique to module	NA	K01809	1420	K01809 is present in multiple modules: M00114/M01000/M01006	0	0	1,0,0,0,0,0,0,0
M00550	Ccu_c8Ua_181	Ccu_c8Ua_181	Ascorbate degradation, ascorbate => D-xylulose-5P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K02821+K02822+K03475 K03476 K03078 K03079 K03077"	0.0	False	0.13333333333333333	False	1.0	K02821,K03475	1,1	K02821,K03475	526,527	None	0	0	0,0,0,0,0
M00854	Ccu_c8Ua_181	Ccu_c8Ua_181	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812)) (K00700,K16149)"	0.5	False	0.6666666666666666	False	NA	No enzymes unique to module	NA	K00700,K00963,K00963,K00975	1047,1269,557,1128	K00700 is present in multiple modules: M00854/M00565,K00963 is present in multiple modules: M00129/M00854/M00549,K00975 is present in multiple modules: M00854/M00565	0	0	0,1
M00855	Ccu_c8Ua_181	Ccu_c8Ua_181	Glycogen degradation, glycogen => glucose-6P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00688,K16153) (K01196,((K00705,K22451) (K02438,K01200))) (K15779,K01835,K15778)"	1.0	True	1.0	True	1.0	K00688,K00705,K02438	1,1,1	K00688,K00705,K01835,K02438	380,629,824,400	K01835 is present in multiple modules: M00855/M00549	1	1	1,1,1
M00565	Ccu_c8Ua_181	Ccu_c8Ua_181	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K00975 K00703 (K00700,K16149) K01214 K06044 K01236"	0.5	False	0.5	False	1.0	K01214	1	K00700,K00975,K01214	1047,1128,400	K00700 is present in multiple modules: M00854/M00565,K00975 is present in multiple modules: M00854/M00565	0	0	1,0,1,1,0,0
M00012	Ccu_c8Ua_181	Ccu_c8Ua_181	Glyoxylate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01647,K01659) (K01681,K27802,K01682) K01637 (K01638,K19282) (K00026,K00025,K00024)"	0.6	False	0.6	False	NA	No enzymes unique to module	NA	K00024,K01647,K01659,K27802	733,1326,1515,102	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K27802 is present in multiple modules: M00009/M00010/M00012/M00740/M00982/M00173	0	0	2,1,0,0,1
M00740	Ccu_c8Ua_181	Ccu_c8Ua_181	Methylaspartate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01647,K01659) K27802 K00031 K00261 K19268+K01846 K04835 K19280 K14449 K19281 K19282 K00024"	0.36363636363636365	False	0.36363636363636365	False	NA	No enzymes unique to module	NA	K00024,K00031,K01647,K01659,K27802	733,1538,1326,1515,102	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614,K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K01647 is present in multiple modules: M00009/M00010/M00012/M00740,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K27802 is present in multiple modules: M00009/M00010/M00012/M00740/M00982/M00173	0	0	2,1,1,0,0,0,0,0,0,0,1
M00532	Ccu_c8Ua_181	Ccu_c8Ua_181	Photorespiration	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01601-K01602) K19269 K11517 K03781 (K14272,K00830,K00827) K00600 K00830 (K15893,K15919) K15918 K00281+K00605+K00382+K02437"	0.3	False	0.3	False	1.0	K02437,K03781	1,1	K00281,K00382,K00600,K00605,K02437,K03781	479,941,1193,480,481,1705	K00281 is present in multiple modules: M00532/M00621,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00600 is present in multiple modules: M00532/M00346/M00975/M00140/M00141,K00605 is present in multiple modules: M00532/M00621	0	0	0,0,0,1,0,1,0,0,0,1
M00013	Ccu_c8Ua_181	Ccu_c8Ua_181	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K00248,K00232) (K07511,K14729) K05605 K23146 K00140"	0.2	False	0.2	False	1.0	K05605	1	K05605	1243	None	0	0	0,0,1,0,0
M00741	Ccu_c8Ua_181	Ccu_c8Ua_181	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"(K01965+K01966,K11263+(K18472,K27094+K27095,K19312+K22568),K01964+K15036+K15037) K05606 (K01847,K01848+K01849)"	0.3333333333333333	False	0.3333333333333333	False	NA	No enzymes unique to module	NA	K11263,K11263,K27094,K27095	1507,1466,1499,1500	K11263 is present in multiple modules: M00741/M00082/M00885/M00886/M00887,K27094 is present in multiple modules: M00741/M00887,K27095 is present in multiple modules: M00741/M00887	0	0	1,0,0
M00982	Ccu_c8Ua_181	Ccu_c8Ua_181	Methylcitrate cycle	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01659 (K01720,(K20455 K09788)) (K01682,K27802) (K03417,K01637) (K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00024,K00116)"	1.0	True	1.0	True	1.0	K01720,K03417	1,1	K00024,K00116,K00239,K00240,K00241,K01659,K01679,K01720,K03417,K27802	733,319,944,945,943,1515,1183,1517,1516,102	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614,K00116 is present in multiple modules: M00009/M00011/M00982,K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K01659 is present in multiple modules: M00009/M00010/M00012/M00740/M00982,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614,K27802 is present in multiple modules: M00009/M00010/M00012/M00740/M00982/M00173	1	1	1,1,1,1,1,1,2
M00131	Ccu_c8Ua_181	Ccu_c8Ua_181	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01106 K01107 K01109 K01092"	0.25	False	0.25	False	1.0	K01092	2	K01092,K01092	229,388	None	0	0	0,0,0,2
M00165	Ccu_c8Ua_181	Ccu_c8Ua_181	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00855,K28462) (K01601-K01602) K00927 (K05298,K00150,K00134) K01803 (K01623,K01624) (K03841,K02446,K11532,K01086) K00615 (K01100,K11532,K01086) (K01807,K01808) K01783"	0.7272727272727273	False	0.7272727272727273	False	NA	No enzymes unique to module	NA	K00134,K00134,K00615,K00927,K01624,K01783,K01803,K01808,K02446	134,1227,126,133,2068,145,132,748,1182	K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01783 is present in multiple modules: M00004/M00007/M00165,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01808 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K02446 is present in multiple modules: M00003/M00165/M00611/M00612	0	0	0,0,1,2,1,1,1,1,0,1,1
M00168	Ccu_c8Ua_181	Ccu_c8Ua_181	CAM (Crassulacean acid metabolism), dark	Pathway modules	Energy metabolism	Carbon fixation	"K01595 (K00025,K00026,K00024)"	0.5	False	0.5	False	NA	No enzymes unique to module	NA	K00024	733	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614	0	0	0,1
M00173	Ccu_c8Ua_181	Ccu_c8Ua_181	Reductive citrate cycle (Arnon-Buchanan cycle)	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172,K03737) ((K01007,K01006) K01595,K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K27802,K01682) (K15230+K15231)"	0.6	False	0.6	False	NA	No enzymes unique to module	NA	K00024,K00031,K00239,K00240,K00241,K01679,K01958,K27802	733,1538,944,945,943,1183,1511,102	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614,K00031 is present in multiple modules: M00009/M00010/M00740/M00173/M00614,K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614,K01958 is present in multiple modules: M00173/M00614,K27802 is present in multiple modules: M00009/M00010/M00012/M00740/M00982/M00173	0	0	0,1,1,1,1,0,0,1,1,0
M00376	Ccu_c8Ua_181	Ccu_c8Ua_181	3-Hydroxypropionate bi-cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K02160+K01961+K01962+K01963) K14468 K14469 K15052 K05606 (K01847,K01848+K01849) (K14471+K14472) (K00239+K00240+K00241) K01679 K08691 K14449 K14470 K09709"	0.15384615384615385	False	0.19230769230769232	False	NA	No enzymes unique to module	NA	K00239,K00240,K00241,K01679,K01961,K02160	944,945,943,1183,580,581	K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614,K01961 is present in multiple modules: M00376/M00082/M00613,K02160 is present in multiple modules: M00376/M00082/M00613	0	0	0,0,0,0,0,0,0,1,1,0,0,0,0
M00374	Ccu_c8Ua_181	Ccu_c8Ua_181	Dicarboxylate-hydroxybutyrate cycle	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) K01007 K01595 K00024 (K01677+K01678) (K00239+K00240-K00241-K18860) (K01902+K01903) (K15038,K15017) K14465 (K14467,K18861,K25774) K14534 K15016 K00626"	0.15384615384615385	False	0.15384615384615385	False	NA	No enzymes unique to module	NA	K00024,K00239,K00240,K00241	733,944,945,943	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614,K00239 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00240 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614,K00241 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00374/M00149/M00613/M00614	0	0	0,0,0,1,0,1,0,0,0,0,0,0,0
M00377	Ccu_c8Ua_181	Ccu_c8Ua_181	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules	Energy metabolism	Carbon fixation	"K00198 (K05299-K15022,K22015+K25123+K25124) K01938 K01491-K01500 K00297-K25007-K25008 K15023 K14138+K00197+K00194"	0.42857142857142855	False	0.42857142857142855	False	NA	No enzymes unique to module	NA	K00297,K01491,K01938	1850,1547,81	K00297 is present in multiple modules: M00377/M00618,K01491 is present in multiple modules: M00377/M00140/M00618,K01938 is present in multiple modules: M00377/M00140/M00618	0	0	0,0,1,1,1,0,0
M00579	Ccu_c8Ua_181	Ccu_c8Ua_181	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	Pathway modules	Energy metabolism	Carbon fixation	"(K00625,K13788,K15024) K00925"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00925,K13788	2165,2166	K00925 is present in multiple modules: M00579/M00357/M00617/M00618,K13788 is present in multiple modules: M00579/M00617/M00618	1	1	1,1
M00620	Ccu_c8Ua_181	Ccu_c8Ua_181	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Pathway modules	Energy metabolism	Carbon fixation	"(K00169+K00170+K00171+K00172) (K01959+K01960) K00024 (K01677+K01678) (K18209+K18210) (K01902+K01903) (K00174+K00175+K00176+K00177)"	0.14285714285714285	False	0.14285714285714285	False	NA	No enzymes unique to module	NA	K00024	733	K00024 is present in multiple modules: M00009/M00011/M00012/M00740/M00982/M00168/M00173/M00374/M00620/M00346/M00614	0	0	0,0,1,0,0,0,0
M00567	Ccu_c8Ua_181	Ccu_c8Ua_181	Methanogenesis, CO2 => methane	Pathway modules	Energy metabolism	Methane metabolism	"(K00200+K00201+K00202+K00203-K11261+(K00205,K11260,K00204)) K00672 K01499 (K00319,K13942) K00320 (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))"	0.0	False	0.0625	False	NA	No enzymes unique to module	NA	K08264	2029	K08264 is present in multiple modules: M00567/M00357/M00356/M00563	0	0	0,0,0,0,0,0,0,0
M00357	Ccu_c8Ua_181	Ccu_c8Ua_181	Methanogenesis, acetate => methane	Pathway modules	Energy metabolism	Methane metabolism	"((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))"	0.0	False	0.25	False	NA	No enzymes unique to module	NA	K00925,K08264	2165,2029	K00925 is present in multiple modules: M00579/M00357/M00617/M00618,K08264 is present in multiple modules: M00567/M00357/M00356/M00563	0	0	0,0,0,0,0
