#identity	tANI	query_length
0.888001596719728	0.28220948395745243	2453172
0.8656229229277751	0.3064786912126163	2424563
0.8719094731754461	0.31267886683742874	2454304
0.8863261709319172	0.2877130181590088	2456581
0.9025549162011156	0.209768507205923	2402165
0.9801047932414412	0.10851239433157074	2467899
0.871301810132809	0.31465856751868876	2421404
0.8887493670288155	0.24131820269534912	2377327
0.8891951034151022	0.24605964306824027	2372261
0.9777617066783083	0.09862887165920033	2492336
0.9758839892183315	0.11074216044553117	2448764
0.8739590772946861	0.3354895368634245	2532067
0.8848479404704753	0.23671312692866675	2335555
0.8851043959731538	0.23306572614645577	2331778
0.9765156354810266	0.1366634556559063	2550350
0.9019581784386609	0.24221469467617013	2480185
0.9817907716324741	0.12108942896349834	2523206
0.9765084396551736	0.10250860559003779	2509550
0.9742150809352534	0.11693493227116308	2462539
1.0	0.00010713979610835589	2426866
0.9811831277533094	0.06811220053320134	2417892
0.9765099201773867	0.1061053557982097	2487240
0.9771162640323335	0.10103239937440989	2438596
0.9783645883361953	0.10224210876528216	2561832
0.8723063990384611	0.32419218502161273	2493258
0.901918014739753	0.19231229439004371	2352590
0.865390014478765	0.3328907042488933	2501310
0.8847969835907331	0.26242905709987674	2337782
0.9757621947994725	0.10671124653270979	2456384
0.9724797714029632	0.11531245130378842	2452524
0.8873181698389472	0.29364714186569046	2453172
0.8659935351089602	0.3047505468979663	2424563
0.8726968833652015	0.30209626953175245	2454304
0.88559447381067	0.28338782563980724	2456581
0.9006174626168235	0.21540005963412703	2402165
0.9804384772929678	0.10589355914988653	2467899
0.8722879194956329	0.2979918849254025	2421404
0.8871656728483112	0.24801386496836264	2377327
0.8891204620622567	0.25576572476189546	2372261
0.9836383333333367	0.09648878311199449	2492336
0.9790291418408247	0.09544930569823615	2448764
0.8736313840996166	0.32693898423309375	2532067
0.88490394379845	0.2462273246429154	2335555
0.8842985014409224	0.23493313131510854	2331778
0.9765885988651274	0.12591101940246735	2550350
0.9003299953205423	0.2511889568516349	2480185
0.980506188360732	0.11834352032891808	2523206
0.9832268555363338	0.097915483755816	2509550
0.9772265603951539	0.1115534447952736	2462539
0.9769382083520449	0.09629492938216404	2426866
0.9777341205578085	0.09421763377962106	2417892
1.0	-0.0	2487240
0.9997641919191943	0.010493731146459441	2438596
0.978187416812612	0.12276581939920825	2561832
0.8732515314885517	0.313885079235482	2493258
0.8999392860454352	0.1994845390755587	2352590
0.8661336517124942	0.3305068424076693	2501310
0.8843793143408977	0.2631069184373658	2337782
0.997959059652032	0.017264227212822735	2456384
0.9758062905375438	0.1020810660579309	2452524
0.8867869654841809	0.27743291437126366	2453172
0.8660518036750507	0.3043902256328502	2424563
0.8728326333176031	0.2893767496855616	2454304
0.8860390000000004	0.2778551318128603	2456581
0.9025899102927294	0.22270254116764424	2402165
0.9849047024866818	0.098672198342495	2467899
0.872802645783134	0.2908284197026553	2421404
0.8878250116550113	0.23098793172997548	2377327
0.8876641670690485	0.2518463163616851	2372261
0.9816563624511113	0.08979873930197775	2492336
0.9792488883888414	0.10824250616677285	2448764
0.8740220631881286	0.32712652661843994	2532067
0.8844767574021006	0.23166842818666084	2335555
0.8842913301204816	0.2381664558562231	2331778
0.9811108174989003	0.1315373893855528	2550350
0.9031983760292788	0.22724106114703221	2480185
1.0	-0.0	2523206
0.9818853574542327	0.09759530995712068	2509550
0.976502241379312	0.12377034833923499	2462539
0.9813644484144741	0.0858159802063351	2426866
0.98422303500222	0.0725015191947561	2417892
0.9808510507569026	0.10482393536049633	2487240
0.9808666994193852	0.09169685607267154	2438596
0.9811368645161322	0.10238183294216496	2561832
0.8736978508158528	0.29151293145253937	2493258
0.9015368276823067	0.1992700201451222	2352590
0.8675223576850096	0.3137161376831635	2501310
0.8843023862002884	0.25543184653315143	2337782
0.9794311491228097	0.09698079786994847	2456384
0.9742092934782622	0.12363058483211384	2452524
0.8802860590886339	0.330381984348081	2453172
1.0	1.113608940556323e-05	2424563
0.9353444380952383	0.22535017110980093	2454304
0.8808281485100172	0.3086003759339689	2456581
0.8656306728880135	0.3087646589723347	2402165
0.8656543125000009	0.3176756550619981	2467899
0.9329693339722088	0.21764499000247708	2421404
0.880323506809338	0.27738533525372855	2377327
0.8802202244997576	0.272336425974422	2372261
0.8660851826923068	0.3290067253662815	2492336
0.8663049080348495	0.31434738318847777	2448764
0.933181578192256	0.2564341162007508	2532067
0.8811789067055396	0.252576663270924	2335555
0.8801500538951503	0.2614647246077462	2331778
0.8664405529075316	0.3406576366255018	2550350
0.8650673802541534	0.340172904349261	2480185
0.8664728280871669	0.34030673610193374	2523206
0.8657415004840293	0.33904141973490975	2509550
0.8670738194109138	0.3152301394010646	2462539
0.8661875413826674	0.3073660559837528	2426866
