#identity	query_cov	query_length
0.888001596719728	0.8492278568318895	2453172
0.8656229229277751	0.8502942592128974	2424563
0.8719094731754461	0.8389457866670144	2454304
0.8863261709319172	0.8461634279512867	2456581
0.9025549162011156	0.898307568381023	2402165
0.9801047932414412	0.9153794381374603	2467899
0.871301810132809	0.8378705081845078	2421404
0.8887493670288155	0.8839293037937145	2377327
0.8891951034151022	0.8793071251434813	2372261
0.9777617066783083	0.9266868512110726	2492336
0.9758839892183315	0.9172909271779559	2448764
0.8739590772946861	0.8181023645898785	2532067
0.8848479404704753	0.8919246174892049	2335555
0.8851043959731538	0.8949243881707435	2331778
0.9765156354810266	0.8932409277158038	2550350
0.9019581784386609	0.870204037198838	2480185
0.9817907716324741	0.9023864876668809	2523206
0.9765084396551736	0.9242832380307227	2509550
0.9742150809352534	0.9131895982155004	2462539
1.0	0.9998928659431546	2426866
0.9811831277533094	0.9520706466624647	2417892
0.9765099201773867	0.9209633971792026	2487240
0.9771162640323335	0.9250728697988515	2438596
0.9783645883361953	0.9227755762282617	2561832
0.8723063990384611	0.8289647521435808	2493258
0.901918014739753	0.9147718046918503	2352590
0.865390014478765	0.8283531429530926	2501310
0.8847969835907331	0.8693304166085631	2337782
0.9757621947994725	0.9211108686589718	2456384
0.9724797714029632	0.9163045906992143	2452524
0.8873181698389472	0.8402166664220854	2453172
0.8659935351089602	0.8514004379345886	2424563
0.8726968833652015	0.8471061449600376	2454304
0.88559447381067	0.850533322532414	2456581
0.9006174626168235	0.8951845522684745	2402165
0.9804384772929678	0.9174674490325576	2467899
0.8722879194956329	0.8509889303891461	2421404
0.8871656728483112	0.8795979686429338	2377327
0.8891204620622567	0.870886888078504	2372261
0.9836383333333367	0.9231239287158713	2492336
0.9790291418408247	0.9284345081845372	2448764
0.8736313840996166	0.8254370836158759	2532067
0.88490394379845	0.8834229979597997	2335555
0.8842985014409224	0.8940688178720273	2331778
0.9765885988651274	0.9028298076734566	2550350
0.9003299953205423	0.8639891782266242	2480185
0.980506188360732	0.9060532513001317	2523206
0.9832268555363338	0.9221936203701859	2509550
0.9772265603951539	0.9152878390961524	2462539
0.9769382083520449	0.9296351755721165	2426866
0.9777341205578085	0.9308099782785997	2417892
1.0	1.0	2487240
0.9997641919191943	0.9897945375125687	2438596
0.978187416812612	0.904193561482564	2561832
0.8732515314885517	0.8366466687362479	2493258
0.8999392860454352	0.9102312770180949	2352590
0.8661336517124942	0.8296172805449944	2501310
0.8843793143408977	0.8691516146501256	2337782
0.997959059652032	0.9848940556525364	2456384
0.9758062905375438	0.9253438498461177	2452524
0.8867869654841809	0.8544627119500793	2453172
0.8660518036750507	0.851649967437431	2424563
0.8728326333176031	0.8578163096340143	2454304
0.8860390000000004	0.8548230243578372	2456581
0.9025899102927294	0.8867292629773559	2402165
0.9849047024866818	0.9199262206435515	2467899
0.872802645783134	0.8566013767219349	2421404
0.8878250116550113	0.8940377154678343	2377327
0.8876641670690485	0.8757413286312088	2372261
0.9816563624511113	0.9311966765315752	2492336
0.9792488883888414	0.9164268177741914	2448764
0.8740220631881286	0.8249134007907374	2532067
0.8844767574021006	0.8968116785945953	2335555
0.8842913301204816	0.8911898988668733	2331778
0.9811108174989003	0.8936263650087243	2550350
0.9031983760292788	0.8821192773926139	2480185
1.0	1.0	2523206
0.9818853574542327	0.9237492777589608	2509550
0.976502241379312	0.9048445527157133	2462539
0.9813644484144741	0.9351909005276764	2426866
0.98422303500222	0.9449731418938481	2417892
0.9808510507569026	0.9180629935189206	2487240
0.9808666994193852	0.93017908665478	2438596
0.9811368645161322	0.9200396435051167	2561832
0.8736978508158528	0.8551381365265849	2493258
0.9015368276823067	0.908813265379858	2352590
0.8675223576850096	0.8423142273448713	2501310
0.8843023862002884	0.8759242735207988	2337782
0.9794311491228097	0.9266332136994867	2456384
0.9742092934782622	0.907101011040055	2452524
0.8802860590886339	0.816381403342285	2453172
1.0	0.9999888639726005	2424563
0.9353444380952383	0.8534146544193384	2454304
0.8808281485100172	0.8338450879494712	2456581
0.8656306728880135	0.8483451386561706	2402165
0.8656543125000009	0.8407961590000239	2467899
0.9329693339722088	0.8622051504003463	2421404
0.880323506809338	0.8607772510891434	2377327
0.8802202244997576	0.8652357392377988	2372261
0.8660851826923068	0.8309092353518948	2492336
0.8663049080348495	0.842965675744988	2448764
0.933181578192256	0.8292126551153662	2532067
0.8811789067055396	0.8815425027456001	2335555
0.8801500538951503	0.8747633779888137	2331778
0.8664405529075316	0.820947713058992	2550350
0.8650673802541534	0.8226495200962831	2480185
0.8664728280871669	0.8212052444390192	2523206
0.8657415004840293	0.8229395708393935	2509550
0.8670738194109138	0.8414749979594232	2462539
0.8661875413826674	0.8489863057952107	2426866
0.8670311165048551	0.8551374503079542	2417892
0.8663752864708717	0.838442611086988	2487240
0.8664442753271947	0.8480375593169184	2438596
0.8669285318559572	0.8477058604935843	2561832
0.9339851983002847	0.8458879907334098	2493258
0.8656655117731868	0.8728822276724801	2352590
0.9988540697674444	0.9407278586020925	2501310
0.8831060471834374	0.8705837413411516	2337782
0.865990142925203	0.8434137333576509	2456384
0.86702567919075	0.8431436348838992	2452524
0.8859364365041055	0.8476254416730665	2453172
0.8668703214971205	0.8561146895337428	2424563
0.8717121067683505	0.8474280284756901	2454304
0.8854704501915713	0.8518746176087822	2456581
0.9022517509363304	0.8938732351857596	2402165
0.9813865209634292	0.9130021123230732	2467899
0.871486390904693	0.8506990159428166	2421404
0.8873243942992884	0.8781530685513604	2377327
0.8873102266152371	0.8764056737433191	2372261
0.9827552786177163	0.9339418922649274	2492336
0.9776099782324794	0.9431333521727696	2448764
0.8739861445783147	0.8194178906008411	2532067
0.8839518309178734	0.8856237596631208	2335555
0.8845474749880899	0.8990276947462409	2331778
1.0	0.9999741211990512	2550350
0.9018719193324053	0.8704173277396646	2480185
