#identity	query_cov	query_length
0.9787885656836505	0.9396341968396992	2414960
0.9998539775093722	0.9993206439729007	2402275
0.9768514465408844	0.9070845281755858	2467899
0.9772540686922089	0.9061187000758677	2528086
0.9606123434622457	0.8313124362109767	2628783
0.9778599048913048	0.918277654851794	2432358
0.977073346320349	0.9331097412226923	2492336
0.9816816341895537	0.930435501662786	2454916
1.0	1.0	2409602
0.9811680273609934	0.9339781212072703	2448764
0.9769536060329085	0.9190088607458781	2417178
0.9760695056867922	0.9002972141078676	2550350
0.9772738444244621	0.8941592561209826	2523206
0.9749529824561424	0.9271572831970479	2419432
0.9767188950749489	0.9291514414934948	2509550
0.981495092756188	0.9303353165168146	2462539
0.9807151710526383	0.9180697587298045	2509220
0.9759065595716215	0.9362230959599748	2426866
0.9763432341001368	0.9294674865544036	2417892
0.9776754199475126	0.9341052733149997	2487240
0.9781363357079285	0.9333317203833681	2438596
0.9776804234671413	0.8983832472487998	2558338
0.9791193037974703	0.9341952618860048	2406696
0.978177703132094	0.893699992417803	2505870
0.9772152860915495	0.8993423456339057	2561832
0.9779024200710539	0.9324456275070228	2445630
0.9762517283413197	0.9320273214611396	2456384
0.9807891399736777	0.9325609046027684	2452524
0.9811118536804347	0.9348999569351045	2414960
0.9779609013452922	0.924738841306678	2402275
1.0	0.9999923011436044	2467899
0.9815923624161114	0.8920274072954797	2528086
0.9589947482678978	0.8278153807294097	2628783
0.9826212714156937	0.9235918396880722	2432358
0.9815512566607503	0.909796672679767	2492336
0.9765802742230374	0.900392925867932	2454916
0.9780459990896695	0.924073353192768	2409602
0.979640728836582	0.9108550272709007	2448764
0.9794329739607163	0.9197882820379798	2417178
0.9802919217081895	0.8865681181014371	2550350
0.9854445965225196	0.9027142452895245	2523206
0.9806275656108645	0.923815176454639	2419432
0.9815107397504496	0.9025510549700145	2509550
0.9763156438356185	0.8996629088920013	2462539
0.9735166247191046	0.8944588358135197	2509220
0.9803255330634313	0.927921442716656	2426866
0.9820873420577659	0.9290737551553171	2417892
0.9805627402771611	0.9142181695373185	2487240
0.9810282074206549	0.9289558418040544	2438596
0.9843293080357187	0.8889787041430804	2558338
0.9860965500224338	0.941777440939778	2406696
0.9799179946164218	0.9039718740397547	2505870
0.9810317075306543	0.9040311776884666	2561832
0.9808739077887227	0.9251571169800828	2445630
0.979724667839863	0.9231577798910919	2456384
0.9739034669068025	0.9110854776548568	2452524
0.9772026573741055	0.9323023983834101	2414960
0.9759908682238898	0.9415275103807849	2402275
0.9801047932414412	0.9153794381374603	2467899
0.9776969995561513	0.8994397342495469	2528086
0.9592804264099044	0.83425143878365	2628783
0.9797523444544675	0.9229640538111578	2432358
0.9777617066783083	0.9266868512110726	2492336
0.9746211201445361	0.9107729144296587	2454916
0.9762563105924629	0.93747307646657	2409602
0.9758839892183315	0.9172909271779559	2448764
0.9783208466090153	0.9219035586125639	2417178
0.9765156354810266	0.8932409277158038	2550350
0.9817907716324741	0.9023864876668809	2523206
0.978540571555165	0.9423678780804751	2419432
0.9765084396551736	0.9242832380307227	2509550
0.9742150809352534	0.9131895982155004	2462539
0.9723617858749465	0.8945058623795442	2509220
1.0	0.9998928659431546	2426866
0.9811831277533094	0.9520706466624647	2417892
0.9765099201773867	0.9209633971792026	2487240
0.9771162640323335	0.9250728697988515	2438596
0.981075206971682	0.9092610124229089	2558338
0.9802773568872999	0.9435549816013323	2406696
