#identity	tANI	query_length
0.9787885656836505	0.08370426121174336	2414960
0.9998539775093722	0.0008256200469212208	2402275
0.9768514465408844	0.12094032699066191	2467899
0.9772540686922089	0.12159357689262412	2528086
0.9606123434622457	0.2249339186934168	2628783
0.9778599048913048	0.10764434356724359	2432358
0.977073346320349	0.09242601992028877	2492336
0.9816816341895537	0.09059074571511659	2454916
1.0	-0.0	2409602
0.9811680273609934	0.08731381822953753	2448764
0.9769536060329085	0.10777562916263925	2417178
0.9760695056867922	0.12925181253840454	2550350
0.9772738444244621	0.13485975592901797	2523206
0.9749529824561424	0.10099809104068304	2419432
0.9767188950749489	0.09703992873569883	2509550
0.981495092756188	0.09088846744199082	2462539
0.9807151710526383	0.10495510843426933	2509220
0.9759065595716215	0.09028991581696025	2426866
0.9763432341001368	0.0970845320418323	2417892
0.9776754199475126	0.09074368025257373	2487240
0.9781363357079285	0.09110081574773202	2438596
0.9776804234671413	0.1297309507683339	2558338
0.9791193037974703	0.08917158372567828	2406696
0.978177703132094	0.13444906398764347	2505870
0.9772152860915495	0.12913980681716	2561832
0.9779024200710539	0.09228982637126897	2445630
0.9762517283413197	0.09442795729552388	2456384
0.9807891399736777	0.08921860283217771	2452524
0.9811118536804347	0.0863845592034684	2414960
0.9779609013452922	0.10052950297690696	2402275
1.0	7.698886031968523e-06	2467899
0.9815923624161114	0.13283758757196154	2528086
0.9589947482678978	0.23083479996437922	2628783
0.9826212714156937	0.09701654826146512	2432358
0.9815512566607503	0.11315518489952342	2492336
0.9765802742230374	0.12862235261387758	2454916
0.9780459990896695	0.10116240013849827	2409602
0.979640728836582	0.11394090796330864	2448764
0.9794329739607163	0.10439323641140595	2417178
0.9802919217081895	0.14030218943062125	2550350
0.9854445965225196	0.11701159866290681	2523206
0.9806275656108645	0.09880579202676251	2419432
0.9815107397504496	0.12119234291595536	2509550
0.9763156438356185	0.12970447077720323	2462539
0.9735166247191046	0.1383767733548109	2509220
0.9803255330634313	0.09467878790473479	2426866
0.9820873420577659	0.0916421828838477	2417892
0.9805627402771611	0.10931468583615432	2487240
0.9810282074206549	0.0928481404283582	2438596
0.9843293080357187	0.1334767738788411	2558338
0.9860965500224338	0.07398730285029352	2406696
0.9799179946164218	0.12124342164348945	2505870
0.9810317075306543	0.12004192888849945	2561832
0.9808739077887227	0.09710306174117808	2445630
0.979724667839863	0.10043881460323813	2456384
0.9739034669068025	0.1195616479463089	2452524
0.9772026573741055	0.09315927536448647	2414960
0.9759908682238898	0.0845537605173152	2402275
0.9801047932414412	0.10851239433157074	2467899
0.9776969995561513	0.1285387003578912	2528086
0.9592804264099044	0.22279226810955996	2628783
0.9797523444544675	0.10062043918199647	2432358
0.9777617066783083	0.09862887165920033	2492336
0.9746211201445361	0.11916816168460281	2454916
0.9762563105924629	0.08859735371954687	2409602
0.9758839892183315	0.11074216044553117	2448764
0.9783208466090153	0.10323225983097385	2417178
0.9765156354810266	0.1366634556559063	2550350
0.9817907716324741	0.12108942896349834	2523206
0.978540571555165	0.08105258189012289	2419432
0.9765084396551736	0.10250860559003779	2509550
0.9742150809352534	0.11693493227116308	2462539
0.9723617858749465	0.1395111583322755	2509220
1.0	0.00010713979610835589	2426866
0.9811831277533094	0.06811220053320134	2417892
0.9765099201773867	0.1061053557982097	2487240
0.9771162640323335	0.10103239937440989	2438596
0.981075206971682	0.11422924241828328	2558338
0.9802773568872999	0.07802037191154085	2406696
0.9782790356016241	0.127367411256748	2505870
0.9783645883361953	0.10224210876528216	2561832
0.9773724123989247	0.10409529596018427	2445630
0.9757621947994725	0.10671124653270979	2456384
0.9724797714029632	0.11531245130378842	2452524
0.9780021520146562	0.10923596362281462	2414960
0.9774674183303119	0.11249523292262031	2402275
0.9787629080252499	0.12553554061567268	2467899
0.9789997070572597	0.12782304516542703	2528086
0.9596952704576992	0.23005266581827796	2628783
0.9833005215419544	0.1026709918006593	2432358
0.976758878801636	0.13917462976026732	2492336
0.976372376192644	0.12369059982494603	2454916
0.977154461821529	0.11304488761280629	2409602
0.9765553459409622	0.1355961451244919	2448764
1.0	-0.0	2417178
0.9780829850088223	0.1348885170491894	2550350
0.9786586553464933	0.15374507181318461	2523206
0.9773328668478306	0.10715610528116692	2419432
0.9765374535568669	0.14480762312715778	2509550
0.9765157071396088	0.1260799472979014	2462539
0.9733826067211675	0.1487925633187682	2509220
0.9793815321100934	0.11634173425834154	2426866
0.9797397725204762	0.10338545355936393	2417892
0.9778728181818221	0.12908082683390795	2487240
0.9781483219021526	0.11855751921037924	2438596
0.9790799776386443	0.14215180563615876	2558338
0.9800701198156716	0.10868669548223024	2406696
0.9783625319343111	0.13938465557301516	2505870
0.9778110978309036	0.13497341072704597	2561832
0.9782304489235026	0.12300898300660965	2445630
0.9765367670863353	0.12513776556446057	2456384
0.9743613190324089	0.13191711051451138	2452524
0.9996889362600274	0.0024152223866393814	2414960
0.9788683730158751	0.08158637520402316	2402275
0.9804384772929678	0.10589355914988653	2467899
0.9773683933274836	0.11821791123875297	2528086
0.9590410927456382	0.22371778683617588	2628783
0.9781473080438775	0.11629083203543368	2432358
0.9836383333333367	0.09648878311199449	2492336
0.9773453939666842	0.11080575805145379	2454916
0.9788673061407458	0.0832676493310269	2409602
0.9790291418408247	0.09544930569823615	2448764
0.9773472933696679	0.10108841384562128	2417178
0.9765885988651274	0.12591101940246735	2550350
0.980506188360732	0.11834352032891808	2523206
0.9785727958910271	0.0886725613010402	2419432
0.9832268555363338	0.097915483755816	2509550
0.9772265603951539	0.1115534447952736	2462539
0.9753378663697141	0.1263191884674131	2509220
0.9769382083520449	0.09629492938216404	2426866
